,yr_range,sec_unique,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net
0,1516,"Ada County, ID",2015,2016,1030,27990000,1023,31110000,7,-3120000
1,1516,"Alameda County, CA",2015,2016,1445,68539000,528,23465000,917,45074000
2,1516,"Allegheny County, PA",2015,2016,125,5911000,91,2839000,34,3072000
3,1516,"Anchorage Municipality, AK",2015,2016,346,12294000,204,5574000,142,6720000
4,1516,"Arapahoe County, CO",2015,2016,136,4030000,120,3670000,16,360000
5,1516,"Bernalillo County, NM",2015,2016,254,8154000,116,4027000,138,4127000
6,1516,"Bexar County, TX",2015,2016,146,4763000,125,4537000,21,226000
7,1516,"Boulder County, CO",2015,2016,116,5899000,56,2145000,60,3754000
8,1516,"Buncombe County, NC",2015,2016,54,1379000,32,1438000,22,-59000
9,1516,"Canyon County, ID",2015,2016,326,4461000,357,6884000,-31,-2423000
10,1516,"Chittenden County, VT",2015,2016,56,1925000,48,1635000,8,290000
11,1516,"Clark County, NV",2015,2016,1497,37963000,1083,35683000,414,2280000
12,1516,"Clark County, WA",2015,2016,6703,195802000,10999,322156000,-4296,-126354000
13,1516,"Collin County, TX",2015,2016,69,2524000,120,3768000,-51,-1244000
14,1516,"Contra Costa County, CA",2015,2016,699,44730000,285,11157000,414,33573000
15,1516,"Cook County, IL",2015,2016,823,39845000,337,15273000,486,24572000
16,1516,"Cowlitz County, WA",2015,2016,493,12219000,806,17358000,-313,-5139000
17,1516,"Cumberland County, ME",2015,2016,44,1322000,37,1344000,7,-22000
18,1516,"Dallas County, TX",2015,2016,286,12432000,168,7620000,118,4812000
19,1516,"Dane County, WI",2015,2016,96,3401000,40,1736000,56,1665000
20,1516,"Davidson County, TN",2015,2016,88,3988000,62,2052000,26,1936000
21,1516,"Davis County, UT",2015,2016,71,1681000,61,1768000,10,-87000
22,1516,"DeKalb County, GA",2015,2016,60,2503000,29,795000,31,1708000
23,1516,"Del Norte County, CA",2015,2016,108,3406000,91,1639000,17,1767000
24,1516,"Denver County, CO",2015,2016,294,13183000,223,10970000,71,2213000
25,1516,"District of Columbia, DC",2015,2016,166,10064000,76,5880000,90,4184000
26,1516,"El Paso County, CO",2015,2016,163,4778000,106,3710000,57,1068000
27,1516,"Fairfax County, VA",2015,2016,85,4500000,53,1609000,32,2891000
28,1516,"Franklin County, OH",2015,2016,144,5966000,141,2955000,3,3011000
29,1516,"Franklin County, WA",2015,2016,79,929000,157,4067000,-78,-3138000
30,1516,"Fresno County, CA",2015,2016,100,2770000,73,1176000,27,1594000
31,1516,"Fulton County, GA",2015,2016,91,4744000,41,3296000,50,1448000
32,1516,"Gallatin County, MT",2015,2016,31,1240000,31,1591000,0,-351000
33,1516,"Harris County, TX",2015,2016,453,19848000,250,7269000,203,12579000
34,1516,"Hawaii County, HI",2015,2016,106,3746000,123,4654000,-17,-908000
35,1516,"Hennepin County, MN",2015,2016,326,16083000,188,6028000,138,10055000
36,1516,"Hillsborough County, FL",2015,2016,59,2022000,47,708000,12,1314000
37,1516,"Honolulu County, HI",2015,2016,754,23040000,328,9153000,426,13887000
38,1516,"Humboldt County, CA",2015,2016,141,3496000,62,1488000,79,2008000
