,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,agi_inflow_capita,agi_outflow_capita
0,Baker County total migration-1718,"Baker County Total Migration-US and Foreign, OR",1718,2017,2018,765,17750000,702,15241000,63,2509000,Baker County,23202.614379084967,21710.82621082621
2,Benton County total migration-1718,"Benton County Total Migration-US and Foreign, OR",1718,2017,2018,5323,169928000,5730,189324000,-407,-19396000,Benton County,31923.351493518694,33040.83769633508
21,Clackamas County total migration-1718,"Clackamas County Total Migration-US and Foreign, OR",1718,2017,2018,26748,1068186000,24100,975799000,2648,92387000,Clackamas County,39935.17272319426,40489.585062240665
72,Clatsop County total migration-1718,"Clatsop County Total Migration-US and Foreign, OR",1718,2017,2018,2646,77114000,2333,68182000,313,8932000,Clatsop County,29143.613000755857,29225.032147449634
84,Columbia County total migration-1718,"Columbia County Total Migration-US and Foreign, OR",1718,2017,2018,3052,87082000,2475,70088000,577,16994000,Columbia County,28532.765399737877,28318.383838383837
92,Coos County total migration-1718,"Coos County Total Migration-US and Foreign, OR",1718,2017,2018,3405,89355000,2559,69852000,846,19503000,Coos County,26242.29074889868,27296.600234466587
103,Crook County total migration-1718,"Crook County Total Migration-US and Foreign, OR",1718,2017,2018,1822,59271000,1198,28981000,624,30290000,Crook County,32530.73545554336,24191.151919866443
106,Curry County total migration-1718,"Curry County Total Migration-US and Foreign, OR",1718,2017,2018,1622,50851000,1240,40423000,382,10428000,Curry County,31350.801479654747,32599.1935483871
111,Deschutes County total migration-1718,"Deschutes County Total Migration-US and Foreign, OR",1718,2017,2018,13354,662369000,9263,345001000,4091,317368000,Deschutes County,49600.79376965703,37245.060995357875
154,Douglas County total migration-1718,"Douglas County Total Migration-US and Foreign, OR",1718,2017,2018,4739,114980000,3749,98973000,990,16007000,Douglas County,24262.502637687277,26399.839957321954
172,Gilliam County total migration-1718,"Gilliam County Total Migration-US and Foreign, OR",1718,2017,2018,92,2305000,104,3002000,-12,-697000,Gilliam County,25054.347826086956,28865.384615384617
173,Grant County total migration-1718,"Grant County Total Migration-US and Foreign, OR",1718,2017,2018,338,9263000,290,5752000,48,3511000,Grant County,27405.325443786984,19834.48275862069
174,Harney County total migration-1718,"Harney County Total Migration-US and Foreign, OR",1718,2017,2018,325,6842000,330,7181000,-5,-339000,Harney County,21052.30769230769,21760.60606060606
175,Hood River County total migration-1718,"Hood River County Total Migration-US and Foreign, OR",1718,2017,2018,1293,55418000,1309,39852000,-16,15566000,Hood River County,42860.0154679041,30444.61420932009
181,Jackson County total migration-1718,"Jackson County Total Migration-US and Foreign, OR",1718,2017,2018,9477,313645000,8034,239836000,1443,73809000,Jackson County,33095.388836129576,29852.62633806323
216,Jefferson County total migration-1718,"Jefferson County Total Migration-US and Foreign, OR",1718,2017,2018,1521,36410000,1150,24601000,371,11809000,Jefferson County,23938.19855358317,21392.17391304348
221,Josephine County total migration-1718,"Josephine County Total Migration-US and Foreign, OR",1718,2017,2018,4202,114170000,3408,82376000,794,31794000,Josephine County,27170.395049976203,24171.36150234742
237,Klamath County total migration-1718,"Klamath County Total Migration-US and Foreign, OR",1718,2017,2018,3628,84387000,2890,73347000,738,11040000,Klamath County,23259.92282249173,25379.584775086507
250,Lake County total migration-1718,"Lake County Total Migration-US and Foreign, OR",1718,2017,2018,388,7900000,378,8812000,10,-912000,Lake County,20360.82474226804,23312.169312169313
251,Lane County total migration-1718,"Lane County Total Migration-US and Foreign, OR",1718,2017,2018,14936,462384000,13240,385498000,1696,76886000,Lane County,30957.686127477235,29116.16314199396
304,Lincoln County total migration-1718,"Lincoln County Total Migration-US and Foreign, OR",1718,2017,2018,3575,112013000,2674,78133000,901,33880000,Lincoln County,31332.30769230769,29219.521316379956
318,Linn County total migration-1718,"Linn County Total Migration-US and Foreign, OR",1718,2017,2018,7559,203202000,5771,139757000,1788,63445000,Linn County,26882.12726551131,24217.120083174494
336,Malheur County total migration-1718,"Malheur County Total Migration-US and Foreign, OR",1718,2017,2018,1516,23240000,1255,24091000,261,-851000,Malheur County,15329.81530343008,19196.01593625498
340,Marion County total migration-1718,"Marion County Total Migration-US and Foreign, OR",1718,2017,2018,16100,436106000,14312,385658000,1788,50448000,Marion County,27087.329192546586,26946.47847959754
376,Morrow County total migration-1718,"Morrow County Total Migration-US and Foreign, OR",1718,2017,2018,691,12378000,599,12662000,92,-284000,Morrow County,17913.16931982634,21138.56427378965
378,Multnomah County total migration-1718,"Multnomah County Total Migration-US and Foreign, OR",1718,2017,2018,43621,1853087000,47137,1986099000,-3516,-133012000,Multnomah County,42481.53412347264,42134.607633069565
