,y1_countyname,y1_state,y2_countyname,y2_state,n2_inflow,agi_perThou_inflow,agi_inflow,yr_range,year1,year2,mig_direction1,unique_tag,secondary_county
61818,Baker County Total Migration-US and Foreign,OR,Baker County,OR,765,17750,17750000,1718,2017,2018,inflow,Baker County total migration-1718,"Baker County Total Migration-US and Foreign, OR"
61824,Union County,OR,Baker County,OR,88,1898,1898000,1718,2017,2018,inflow,Baker County-Union County-OR-1718,"Union County, OR"
61825,Deschutes County,OR,Baker County,OR,46,1244,1244000,1718,2017,2018,inflow,Baker County-Deschutes County-OR-1718,"Deschutes County, OR"
61826,Ada County,ID,Baker County,OR,33,613,613000,1718,2017,2018,inflow,Baker County-Ada County-ID-1718,"Ada County, ID"
61834,Benton County Total Migration-US and Foreign,OR,Benton County,OR,5323,169928,169928000,1718,2017,2018,inflow,Benton County total migration-1718,"Benton County Total Migration-US and Foreign, OR"
61840,Linn County,OR,Benton County,OR,989,24061,24061000,1718,2017,2018,inflow,Benton County-Linn County-OR-1718,"Linn County, OR"
61841,Lane County,OR,Benton County,OR,392,9846,9846000,1718,2017,2018,inflow,Benton County-Lane County-OR-1718,"Lane County, OR"
61842,Multnomah County,OR,Benton County,OR,256,7928,7928000,1718,2017,2018,inflow,Benton County-Multnomah County-OR-1718,"Multnomah County, OR"
61843,Marion County,OR,Benton County,OR,229,6252,6252000,1718,2017,2018,inflow,Benton County-Marion County-OR-1718,"Marion County, OR"
61844,Washington County,OR,Benton County,OR,138,3664,3664000,1718,2017,2018,inflow,Benton County-Washington County-OR-1718,"Washington County, OR"
61845,Polk County,OR,Benton County,OR,212,5128,5128000,1718,2017,2018,inflow,Benton County-Polk County-OR-1718,"Polk County, OR"
61846,Deschutes County,OR,Benton County,OR,129,4176,4176000,1718,2017,2018,inflow,Benton County-Deschutes County-OR-1718,"Deschutes County, OR"
61847,Clackamas County,OR,Benton County,OR,113,3137,3137000,1718,2017,2018,inflow,Benton County-Clackamas County-OR-1718,"Clackamas County, OR"
61848,Lincoln County,OR,Benton County,OR,127,3865,3865000,1718,2017,2018,inflow,Benton County-Lincoln County-OR-1718,"Lincoln County, OR"
61849,King County,WA,Benton County,OR,79,3413,3413000,1718,2017,2018,inflow,Benton County-King County-WA-1718,"King County, WA"
61850,Los Angeles County,CA,Benton County,OR,89,3320,3320000,1718,2017,2018,inflow,Benton County-Los Angeles County-CA-1718,"Los Angeles County, CA"
61851,San Diego County,CA,Benton County,OR,71,2406,2406000,1718,2017,2018,inflow,Benton County-San Diego County-CA-1718,"San Diego County, CA"
61852,Douglas County,OR,Benton County,OR,73,1699,1699000,1718,2017,2018,inflow,Benton County-Douglas County-OR-1718,"Douglas County, OR"
