,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
59943,Baker County,OR,Baker County Total Migration-US and Foreign,OR,620,15777,15777000,1819,2018,2019,outflow,Baker County total migration-1819,"Baker County Total Migration-US and Foreign, OR"
59948,Baker County,OR,Union County,OR,71,1476,1476000,1819,2018,2019,outflow,Baker County-Union County-OR-1819,"Union County, OR"
59949,Baker County,OR,Ada County,ID,31,964,964000,1819,2018,2019,outflow,Baker County-Ada County-ID-1819,"Ada County, ID"
59957,Benton County,OR,Benton County Total Migration-US and Foreign,OR,5479,178209,178209000,1819,2018,2019,outflow,Benton County total migration-1819,"Benton County Total Migration-US and Foreign, OR"
59962,Benton County,OR,Linn County,OR,1220,37122,37122000,1819,2018,2019,outflow,Benton County-Linn County-OR-1819,"Linn County, OR"
59963,Benton County,OR,Multnomah County,OR,371,11908,11908000,1819,2018,2019,outflow,Benton County-Multnomah County-OR-1819,"Multnomah County, OR"
59964,Benton County,OR,Washington County,OR,314,9747,9747000,1819,2018,2019,outflow,Benton County-Washington County-OR-1819,"Washington County, OR"
59965,Benton County,OR,Lane County,OR,356,9651,9651000,1819,2018,2019,outflow,Benton County-Lane County-OR-1819,"Lane County, OR"
59966,Benton County,OR,Marion County,OR,245,8643,8643000,1819,2018,2019,outflow,Benton County-Marion County-OR-1819,"Marion County, OR"
59967,Benton County,OR,Clackamas County,OR,139,4570,4570000,1819,2018,2019,outflow,Benton County-Clackamas County-OR-1819,"Clackamas County, OR"
59968,Benton County,OR,Deschutes County,OR,135,5556,5556000,1819,2018,2019,outflow,Benton County-Deschutes County-OR-1819,"Deschutes County, OR"
59969,Benton County,OR,Polk County,OR,188,4888,4888000,1819,2018,2019,outflow,Benton County-Polk County-OR-1819,"Polk County, OR"
59970,Benton County,OR,King County,WA,100,3635,3635000,1819,2018,2019,outflow,Benton County-King County-WA-1819,"King County, WA"
59971,Benton County,OR,Maricopa County,AZ,83,3264,3264000,1819,2018,2019,outflow,Benton County-Maricopa County-AZ-1819,"Maricopa County, AZ"
59972,Benton County,OR,Lincoln County,OR,79,3683,3683000,1819,2018,2019,outflow,Benton County-Lincoln County-OR-1819,"Lincoln County, OR"
59973,Benton County,OR,Los Angeles County,CA,55,1035,1035000,1819,2018,2019,outflow,Benton County-Los Angeles County-CA-1819,"Los Angeles County, CA"
59974,Benton County,OR,Clark County,WA,65,2213,2213000,1819,2018,2019,outflow,Benton County-Clark County-WA-1819,"Clark County, WA"
59975,Benton County,OR,Jackson County,OR,57,1433,1433000,1819,2018,2019,outflow,Benton County-Jackson County-OR-1819,"Jackson County, OR"
59976,Benton County,OR,San Diego County,CA,48,1854,1854000,1819,2018,2019,outflow,Benton County-San Diego County-CA-1819,"San Diego County, CA"
59977,Benton County,OR,Santa Clara County,CA,54,2857,2857000,1819,2018,2019,outflow,Benton County-Santa Clara County-CA-1819,"Santa Clara County, CA"
59978,Benton County,OR,Douglas County,OR,42,784,784000,1819,2018,2019,outflow,Benton County-Douglas County-OR-1819,"Douglas County, OR"
59979,Benton County,OR,Yamhill County,OR,44,1815,1815000,1819,2018,2019,outflow,Benton County-Yamhill County-OR-1819,"Yamhill County, OR"
59987,Clackamas County,OR,Clackamas County Total Migration-US and Foreign,OR,22601,978069,978069000,1819,2018,2019,outflow,Clackamas County total migration-1819,"Clackamas County Total Migration-US and Foreign, OR"
59993,Clackamas County,OR,Multnomah County,OR,6267,230740,230740000,1819,2018,2019,outflow,Clackamas County-Multnomah County-OR-1819,"Multnomah County, OR"
59994,Clackamas County,OR,Washington County,OR,3205,161719,161719000,1819,2018,2019,outflow,Clackamas County-Washington County-OR-1819,"Washington County, OR"
59995,Clackamas County,OR,Marion County,OR,1709,49746,49746000,1819,2018,2019,outflow,Clackamas County-Marion County-OR-1819,"Marion County, OR"
59996,Clackamas County,OR,Clark County,WA,1486,72858,72858000,1819,2018,2019,outflow,Clackamas County-Clark County-WA-1819,"Clark County, WA"
59997,Clackamas County,OR,Deschutes County,OR,529,40583,40583000,1819,2018,2019,outflow,Clackamas County-Deschutes County-OR-1819,"Deschutes County, OR"
59998,Clackamas County,OR,Maricopa County,AZ,443,23857,23857000,1819,2018,2019,outflow,Clackamas County-Maricopa County-AZ-1819,"Maricopa County, AZ"
59999,Clackamas County,OR,Yamhill County,OR,395,15122,15122000,1819,2018,2019,outflow,Clackamas County-Yamhill County-OR-1819,"Yamhill County, OR"
60000,Clackamas County,OR,King County,WA,266,14342,14342000,1819,2018,2019,outflow,Clackamas County-King County-WA-1819,"King County, WA"
60001,Clackamas County,OR,Lane County,OR,283,8892,8892000,1819,2018,2019,outflow,Clackamas County-Lane County-OR-1819,"Lane County, OR"
60002,Clackamas County,OR,Los Angeles County,CA,207,8968,8968000,1819,2018,2019,outflow,Clackamas County-Los Angeles County-CA-1819,"Los Angeles County, CA"
60003,Clackamas County,OR,Columbia County,OR,172,5230,5230000,1819,2018,2019,outflow,Clackamas County-Columbia County-OR-1819,"Columbia County, OR"
60004,Clackamas County,OR,Linn County,OR,154,4172,4172000,1819,2018,2019,outflow,Clackamas County-Linn County-OR-1819,"Linn County, OR"
60005,Clackamas County,OR,Polk County,OR,144,4167,4167000,1819,2018,2019,outflow,Clackamas County-Polk County-OR-1819,"Polk County, OR"
60006,Clackamas County,OR,San Diego County,CA,134,8216,8216000,1819,2018,2019,outflow,Clackamas County-San Diego County-CA-1819,"San Diego County, CA"
