,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2
1,Baker County-Union County-OR-1718,"Union County, OR",1718,2017,2018,88,1898000,95,1404000,-7,494000,Baker County,Baker County-Union County-OR
3,Benton County-Linn County-OR-1718,"Linn County, OR",1718,2017,2018,989,24061000,1380,42582000,-391,-18521000,Benton County,Benton County-Linn County-OR
4,Benton County-Lane County-OR-1718,"Lane County, OR",1718,2017,2018,392,9846000,353,9958000,39,-112000,Benton County,Benton County-Lane County-OR
5,Benton County-Multnomah County-OR-1718,"Multnomah County, OR",1718,2017,2018,256,7928000,317,10701000,-61,-2773000,Benton County,Benton County-Multnomah County-OR
6,Benton County-Marion County-OR-1718,"Marion County, OR",1718,2017,2018,229,6252000,287,8983000,-58,-2731000,Benton County,Benton County-Marion County-OR
7,Benton County-Washington County-OR-1718,"Washington County, OR",1718,2017,2018,138,3664000,291,6818000,-153,-3154000,Benton County,Benton County-Washington County-OR
8,Benton County-Polk County-OR-1718,"Polk County, OR",1718,2017,2018,212,5128000,181,5354000,31,-226000,Benton County,Benton County-Polk County-OR
9,Benton County-Deschutes County-OR-1718,"Deschutes County, OR",1718,2017,2018,129,4176000,171,9663000,-42,-5487000,Benton County,Benton County-Deschutes County-OR
10,Benton County-Clackamas County-OR-1718,"Clackamas County, OR",1718,2017,2018,113,3137000,170,7245000,-57,-4108000,Benton County,Benton County-Clackamas County-OR
11,Benton County-Lincoln County-OR-1718,"Lincoln County, OR",1718,2017,2018,127,3865000,103,3553000,24,312000,Benton County,Benton County-Lincoln County-OR
12,Benton County-King County-WA-1718,"King County, WA",1718,2017,2018,79,3413000,119,4152000,-40,-739000,Benton County,Benton County-King County-WA
13,Benton County-Los Angeles County-CA-1718,"Los Angeles County, CA",1718,2017,2018,89,3320000,44,576000,45,2744000,Benton County,Benton County-Los Angeles County-CA
14,Benton County-San Diego County-CA-1718,"San Diego County, CA",1718,2017,2018,71,2406000,51,1392000,20,1014000,Benton County,Benton County-San Diego County-CA
15,Benton County-Douglas County-OR-1718,"Douglas County, OR",1718,2017,2018,73,1699000,44,979000,29,720000,Benton County,Benton County-Douglas County-OR
16,Benton County-Jackson County-OR-1718,"Jackson County, OR",1718,2017,2018,81,1468000,53,1928000,28,-460000,Benton County,Benton County-Jackson County-OR
17,Benton County-Yamhill County-OR-1718,"Yamhill County, OR",1718,2017,2018,37,1033000,52,2706000,-15,-1673000,Benton County,Benton County-Yamhill County-OR
18,Benton County-Maricopa County-AZ-1718,"Maricopa County, AZ",1718,2017,2018,49,1690000,74,2354000,-25,-664000,Benton County,Benton County-Maricopa County-AZ
19,Benton County-Clark County-WA-1718,"Clark County, WA",1718,2017,2018,43,1229000,69,4636000,-26,-3407000,Benton County,Benton County-Clark County-WA
20,Benton County-Santa Clara County-CA-1718,"Santa Clara County, CA",1718,2017,2018,38,2768000,63,2879000,-25,-111000,Benton County,Benton County-Santa Clara County-CA
22,Clackamas County-Multnomah County-OR-1718,"Multnomah County, OR",1718,2017,2018,9734,351923000,6351,228376000,3383,123547000,Clackamas County,Clackamas County-Multnomah County-OR
23,Clackamas County-Washington County-OR-1718,"Washington County, OR",1718,2017,2018,3803,168550000,3293,132725000,510,35825000,Clackamas County,Clackamas County-Washington County-OR
24,Clackamas County-Marion County-OR-1718,"Marion County, OR",1718,2017,2018,1233,38326000,1770,48263000,-537,-9937000,Clackamas County,Clackamas County-Marion County-OR
25,Clackamas County-Clark County-WA-1718,"Clark County, WA",1718,2017,2018,1122,39046000,1651,64611000,-529,-25565000,Clackamas County,Clackamas County-Clark County-WA
